"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16","2017-12-19"
"Kosta Koufos_SAC",1.5,12.25,NA,NA,10.5,0.25,NA,NA,15.75,22.5,NA,24,NA,13
"Devin Harris_DAL",NA,NA,21.5,NA,NA,25.75,25.25,NA,10.5,19.25,NA,28.5,4.75,NA
"Anthony Tolliver_DET",NA,NA,16.25,NA,16.75,0.75,10.25,NA,7,9.75,NA,8.5,NA,NA
"Norman Powell_TOR",NA,NA,15.5,NA,22.25,NA,NA,6.75,NA,NA,2.25,NA,NA,NA
"Torrey Craig_DEN",NA,0,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA
"Montrezl Harrell_LAC",0,NA,NA,19.75,NA,19,NA,NA,12.5,NA,13.5,NA,21.5,NA
"DeAndre' Bembry_ATL",NA,NA,NA,0,NA,0,0,NA,0,0,NA,0,NA,NA
"Malcolm Delaney_ATL",NA,NA,NA,0,NA,0,7,NA,0,3.5,NA,13.75,NA,NA
"Terrence Ross_ORL",NA,NA,13.25,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"David West_GS",22.25,NA,0,NA,14.75,NA,21,NA,20.25,NA,NA,22.75,NA,NA
"Tyler Zeller_BKN",NA,NA,26.25,NA,NA,16.25,19.25,NA,NA,24.5,NA,20,NA,NA
"Shabazz Napier_POR",NA,NA,NA,10.25,NA,32.75,NA,3,NA,NA,17.75,NA,13,NA
"Andre Roberson_OKC",NA,NA,24.75,NA,19.5,NA,NA,19,NA,NA,0,NA,16.25,NA
"Thabo Sefolosha_UTA",NA,11.25,NA,20.5,14,NA,14.75,33.5,NA,NA,8,NA,21.25,NA
"Alex Abrines_OKC",NA,NA,0,NA,0,NA,NA,5.25,NA,NA,24,NA,3.25,NA
"Jerami Grant_OKC",NA,NA,19.25,NA,20.75,NA,NA,8.25,NA,NA,22.5,NA,17.5,NA
"Delon Wright_TOR",NA,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
"Gorgui Dieng_MIN",NA,10.25,41.5,NA,15.75,NA,23.25,NA,15,14.75,NA,27,8,NA
"Daniel Theis_BOS",NA,NA,NA,21.5,NA,12,8.75,NA,28.25,NA,15.25,NA,14.75,NA
"Jonathan Isaac_ORL",NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"Patrick McCaw_GS",40.25,NA,0,NA,18.25,NA,7,NA,0,NA,NA,7.5,NA,NA
"Jarell Martin_MEM",NA,NA,9.5,NA,4,13.5,8,NA,13,NA,3.25,NA,23,NA
"Kevon Looney_GS",1,NA,11,NA,2,NA,1.25,NA,5.5,NA,NA,2.25,NA,NA
"Jarrett Allen_BKN",NA,NA,15.5,NA,NA,23,22.75,NA,NA,17.5,NA,2.75,NA,NA
"Bryn Forbes_SA",NA,NA,10.75,NA,16,NA,2.75,NA,25.75,13.75,NA,NA,14,NA
"Davis Bertans_SA",NA,NA,0,NA,1.5,NA,19.25,NA,16.25,0,NA,NA,25.75,NA
"Brandon Paul_SA",NA,NA,0,NA,2,NA,1.5,NA,3.5,0,NA,NA,4.25,NA
"Noah Vonleh_POR",NA,NA,NA,11,NA,17.75,NA,9.5,NA,NA,0.75,NA,5.5,NA
"Zach Collins_POR",NA,NA,NA,0,NA,0,NA,0,NA,NA,14.25,NA,15.5,NA
"Maurice Harkless_POR",NA,NA,NA,5.5,NA,0,NA,8.5,NA,NA,6.25,NA,0,NA
"Raul Neto_UTA",NA,0,NA,0,0,NA,0,0,NA,NA,0,NA,0,NA
"Corey Brewer_LAL",13.5,NA,3.5,NA,NA,0,NA,NA,NA,0.75,NA,7.5,NA,NA
"Nemanja Bjelica_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA,0,0,NA
