"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","Bryn Forbes",3400,"SA@POR 12/20/2017 10:00PM ET",11.45,"SA"
"SF/PF","Davis Bertans",3400,"SA@POR 12/20/2017 10:00PM ET",9.596,"SA"
"SG","Brandon Paul",3400,"SA@POR 12/20/2017 10:00PM ET",8.466,"SA"
"PF/C","Noah Vonleh",3400,"SA@POR 12/20/2017 10:00PM ET",14.761,"POR"
"PF/C","Zach Collins",3400,"SA@POR 12/20/2017 10:00PM ET",8.232,"POR"
"SF/PF","Maurice Harkless",3400,"SA@POR 12/20/2017 10:00PM ET",12.85,"POR"
"PG","Raul Neto",3400,"UTA@OKC 12/20/2017 08:00PM ET",9.847,"UTA"
"SG/SF","Corey Brewer",3400,"LAL@HOU 12/20/2017 08:00PM ET",6.652,"LAL"
"SF/PF","Nemanja Bjelica",3400,"MIN@DEN 12/20/2017 09:00PM ET",13.514,"MIN"
"SF/PF","Dragan Bender",3400,"PHO@LAC 12/20/2017 10:30PM ET",12.914,"PHO"
"PG","Isaiah Taylor",3300,"IND@ATL 12/20/2017 07:30PM ET",11.565,"ATL"
"C","Miles Plumlee",3300,"IND@ATL 12/20/2017 07:30PM ET",10.568,"ATL"
"PG","Shane Larkin",3300,"MIA@BOS 12/20/2017 07:30PM ET",8.135,"BOS"
"PG/SG","Shelvin Mack",3300,"ORL@CHI 12/20/2017 08:00PM ET",14.01,"ORL"
"SG/SF","Paul Zipser",3300,"ORL@CHI 12/20/2017 08:00PM ET",9.808,"CHI"
"SG/SF","James Ennis III",3300,"MEM@GS 12/20/2017 10:30PM ET",14.25,"MEM"
"SG","Nick Young",3300,"MEM@GS 12/20/2017 10:30PM ET",10.821,"GS"
"SG/SF","Ben McLemore",3300,"MEM@GS 12/20/2017 10:30PM ET",12.263,"MEM"
"C","Zaza Pachulia",3300,"MEM@GS 12/20/2017 10:30PM ET",14.6,"GS"
"PF/C","Skal Labissiere",3300,"SAC@BKN 12/20/2017 07:30PM ET",14.796,"SAC"
"SF/PF","Jakarr Sampson",3300,"SAC@BKN 12/20/2017 07:30PM ET",13.75,"SAC"
"PF/C","Quincy Acy",3300,"SAC@BKN 12/20/2017 07:30PM ET",12.063,"BKN"
"PF/C","Meyers Leonard",3300,"SA@POR 12/20/2017 10:00PM ET",11.091,"POR"
"SG/SF","Pat Connaughton",3300,"SA@POR 12/20/2017 10:00PM ET",11.283,"POR"
"PF/C","Patrick Patterson",3300,"UTA@OKC 12/20/2017 08:00PM ET",8.042,"OKC"
"PF/C","Dwight Powell",3300,"DET@DAL 12/20/2017 08:30PM ET",16,"DAL"
"C","Boban Marjanovic",3300,"DET@DAL 12/20/2017 08:30PM ET",10.281,"DET"
"PG","Michael Carter-Williams",3300,"TOR@CHA 12/20/2017 07:00PM ET",13.447,"CHA"
"C","Lucas Nogueira",3300,"TOR@CHA 12/20/2017 07:00PM ET",11.265,"TOR"
"C","Ivica Zubac",3300,"LAL@HOU 12/20/2017 08:00PM ET",1.333,"LAL"
"C","Nene Hilario",3300,"LAL@HOU 12/20/2017 08:00PM ET",14.417,"HOU"
"PG/SG","Tyus Jones",3300,"MIN@DEN 12/20/2017 09:00PM ET",12.476,"MIN"
"SG/SF","Shabazz Muhammad",3300,"MIN@DEN 12/20/2017 09:00PM ET",7.25,"MIN"
"SF/PF","Juancho Hernangomez",3300,"MIN@DEN 12/20/2017 09:00PM ET",8.833,"DEN"
"SG","C.J. Williams",3300,"PHO@LAC 12/20/2017 10:30PM ET",8.656,"LAC"
"PF/C","Al Jefferson",3200,"IND@ATL 12/20/2017 07:30PM ET",15.5,"IND"
"SG/SF","Semi Ojeleye",3200,"MIA@BOS 12/20/2017 07:30PM ET",6.32,"BOS"
"SG/SF","Wes Iwundu",3200,"ORL@CHI 12/20/2017 08:00PM ET",5.885,"ORL"
"C","JaVale McGee",3200,"MEM@GS 12/20/2017 10:30PM ET",8.769,"GS"
"PG/SG","Isaiah Whitehead",3200,"SAC@BKN 12/20/2017 07:30PM ET",13.75,"BKN"
"PF","Caleb Swanigan",3200,"SA@POR 12/20/2017 10:00PM ET",7.607,"POR"
"SF/PF","Luc Richard Mbah a Moute",3200,"LAL@HOU 12/20/2017 08:00PM ET",15.948,"HOU"
"SG","Malik Beasley",3200,"MIN@DEN 12/20/2017 09:00PM ET",7.385,"DEN"
