"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","Tarik Black",3000,"MIL@HOU 12/16/2017 08:00PM ET",8.118,"HOU"
"PG/SF","Rashad Vaughn",3000,"MIL@HOU 12/16/2017 08:00PM ET",6.538,"MIL"
"PG/SG","Jason Terry",3000,"MIL@HOU 12/16/2017 08:00PM ET",5.972,"MIL"
"PF/C","Zhou Qi",3000,"MIL@HOU 12/16/2017 08:00PM ET",3.875,"HOU"
"PF/C","D.J. Wilson",3000,"MIL@HOU 12/16/2017 08:00PM ET",1.694,"MIL"
"PF","Joel Bolomboy",3000,"MIL@HOU 12/16/2017 08:00PM ET",3.5,"MIL"
"SG","Sterling Brown",3000,"MIL@HOU 12/16/2017 08:00PM ET",4.45,"MIL"
"PG","Demetrius Jackson",3000,"MIL@HOU 12/16/2017 08:00PM ET",2.854,"HOU"
"PG","Briante Weber",3000,"MIL@HOU 12/16/2017 08:00PM ET",1.688,"HOU"
"SG","Troy Williams",3000,"MIL@HOU 12/16/2017 08:00PM ET",3.25,"HOU"
"PF/C","Chinanu Onuaku",3000,"MIL@HOU 12/16/2017 08:00PM ET",0,"HOU"
"PG/SG","Patrick Beverley",3000,"LAC@MIA 12/16/2017 08:00PM ET",25.977,"LAC"
"C","Willie Reed",3000,"LAC@MIA 12/16/2017 08:00PM ET",10.345,"LAC"
"SG","C.J. Williams",3000,"LAC@MIA 12/16/2017 08:00PM ET",6.808,"LAC"
"SF/PF","Jamil Wilson",3000,"LAC@MIA 12/16/2017 08:00PM ET",8.406,"LAC"
"PF/C","Jordan Mickey",3000,"LAC@MIA 12/16/2017 08:00PM ET",7.375,"MIA"
"PF/C","Brice Johnson",3000,"LAC@MIA 12/16/2017 08:00PM ET",5.542,"LAC"
"SF/PF","Okaro White",3000,"LAC@MIA 12/16/2017 08:00PM ET",8.45,"MIA"
"SG/SF","Rodney McGruder",3000,"LAC@MIA 12/16/2017 08:00PM ET",0,"MIA"
"PG/SG","Derrick Walton Jr.",3000,"LAC@MIA 12/16/2017 08:00PM ET",1.417,"MIA"
"SG","Matt Williams",3000,"LAC@MIA 12/16/2017 08:00PM ET",0,"MIA"
"PF/C","Udonis Haslem",3000,"LAC@MIA 12/16/2017 08:00PM ET",2.083,"MIA"
"C","A.J. Hammons",3000,"LAC@MIA 12/16/2017 08:00PM ET",0,"MIA"
"PG/SG","Isaiah Canaan",3000,"PHO@MIN 12/16/2017 08:00PM ET",1.25,"PHO"
"SG/SF","Danuel House",3000,"PHO@MIN 12/16/2017 08:00PM ET",3.75,"PHO"
"PG/SG","Aaron Brooks",3000,"PHO@MIN 12/16/2017 08:00PM ET",4.25,"MIN"
"SG/SF","Marcus Georges-Hunt",3000,"PHO@MIN 12/16/2017 08:00PM ET",1.6,"MIN"
"PF","Alec Peters",3000,"PHO@MIN 12/16/2017 08:00PM ET",3.75,"PHO"
"C","Cole Aldrich",3000,"PHO@MIN 12/16/2017 08:00PM ET",1.625,"MIN"
"SG/SF","Davon Reed",3000,"PHO@MIN 12/16/2017 08:00PM ET",0,"PHO"
"PG/SG","Brandon Knight",3000,"PHO@MIN 12/16/2017 08:00PM ET",0,"PHO"
"SG/SF","Anthony Brown",3000,"PHO@MIN 12/16/2017 08:00PM ET",0,"MIN"
"C","Justin Patton",3000,"PHO@MIN 12/16/2017 08:00PM ET",0,"MIN"
"C","Alan Williams",3000,"PHO@MIN 12/16/2017 08:00PM ET",0,"PHO"
"PF","Nerlens Noel",3000,"DAL@SA 12/16/2017 08:30PM ET",12.132,"DAL"
"PF/C","Joffrey Lauvergne",3000,"DAL@SA 12/16/2017 08:30PM ET",9.321,"SA"
"SG","Antonius Cleveland",3000,"DAL@SA 12/16/2017 08:30PM ET",4.944,"DAL"
"C","Jeff Withey",3000,"DAL@SA 12/16/2017 08:30PM ET",3.722,"DAL"
"SF","Dorian Finney-Smith",3000,"DAL@SA 12/16/2017 08:30PM ET",5.875,"DAL"
"PG","Derrick White",3000,"DAL@SA 12/16/2017 08:30PM ET",6.65,"SA"
"PF","Matt Costello",3000,"DAL@SA 12/16/2017 08:30PM ET",12.25,"SA"
"SG/SF","Darrun Hilliard",3000,"DAL@SA 12/16/2017 08:30PM ET",3.813,"SA"
"PF/C","Johnathan Motley",3000,"DAL@SA 12/16/2017 08:30PM ET",7.25,"DAL"
"PF/C","Josh McRoberts",3000,"DAL@SA 12/16/2017 08:30PM ET",0,"DAL"
"C","Salah Mejri",3000,"DAL@SA 12/16/2017 08:30PM ET",11.826,"DAL"
