"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
68,954814429,"MSVS (20/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"George Hill","UTIL","1.35%",36.75
68,955737609,"jpmacedonia",0,291,"C Karl-Anthony Towns SG Bradley Beal PF T.J. Warren PG Spencer Dinwiddie SF Andrew Wiggins UTIL DeMarre Carroll F Wilson Chandler G Yogi Ferrell",NA,"Jamal Murray","SG","1.35%",40.5
89,955069242,"batman8964 (1/3)",0,290.5,"UTIL Andre Drummond F Kristaps Porzingis SG Jimmy Butler PG Spencer Dinwiddie SF Rondae Hollis-Jefferson C Tyson Chandler G Tomas Satoransky PF Tyler Cavanaugh",NA,"Malcolm Delaney","PG","1.12%",3.5
90,955362645,"Orcachow (6/6)",0,290,"PF Kristaps Porzingis SG Jimmy Butler SF T.J. Warren UTIL Lonzo Ball PG Spencer Dinwiddie F Ersan Ilyasova C Julius Randle G Frank Mason III",NA,"Rudy Gay","SF","1.12%",35.75
90,955725787,"mikeyruger",0,290,"PF Kristaps Porzingis C Kevin Love SG Jimmy Butler PG Spencer Dinwiddie UTIL Rondae Hollis-Jefferson G De'Aaron Fox F Wilson Chandler SF Josh Jackson",NA,"Emmanuel Mudiay","PG","1.12%",4.5
90,955730641,"GetMoney1976",0,290,"C Karl-Anthony Towns PF Kristaps Porzingis SG Jimmy Butler G Brandon Ingram SF Ersan Ilyasova F Wilson Chandler PG Mike James UTIL Tyler Cavanaugh",NA,"Anthony Tolliver","UTIL","0.90%",9.75
90,955738137,"aysjays1 (2/3)",0,290,"PF Kristaps Porzingis SG Jimmy Butler F Zach Randolph UTIL T.J. Warren SF Rondae Hollis-Jefferson G Caris LeVert PG Mike James C Gorgui Dieng",NA,"Jamal Crawford","G","0.90%",12
90,955743653,"Weedle (1/2)",0,290,"C Kristaps Porzingis UTIL Jimmy Butler PG Lonzo Ball SF Rondae Hollis-Jefferson F Dario Saric G Buddy Hield PF Ersan Ilyasova SG Wesley Matthews",NA,"Richaun Holmes","F","0.90%",34.75
95,955693627,"vasquez28 (1/2)",0,289.5,"C Karl-Anthony Towns SG Jimmy Butler SF Will Barton PG Jeff Teague PF Andrew Wiggins F Rondae Hollis-Jefferson UTIL Ish Smith G Yogi Ferrell",NA,"Tim Frazier","PG","0.90%",12.25
95,955698693,"vasquez28 (2/2)",0,289.5,"C Karl-Anthony Towns SG Jimmy Butler SF Will Barton PG Jeff Teague PF Andrew Wiggins F Rondae Hollis-Jefferson UTIL Ish Smith G Yogi Ferrell",NA,"Langston Galloway","PG","0.67%",23
97,955294420,"Terrell7",0,289.25,"SF LeBron James UTIL Jimmy Butler PF Taj Gibson SG Caris LeVert C Julius Randle G Wesley Matthews F Trevor Booker PG Mike James",NA,"Justin Jackson","UTIL","0.67%",0
98,955550277,"winz297",0,288.75,"SF LeBron James C Karl-Anthony Towns SG Jimmy Butler PF Andrew Wiggins PG Patty Mills UTIL J.R. Smith F Kyle Korver G Jamal Crawford",NA,"Tony Parker","UTIL","0.67%",18.25
98,955743686,"rbcues (11/20)",0,288.75,"SF LeBron James SG Jimmy Butler PG Spencer Dinwiddie PF Rondae Hollis-Jefferson UTIL Julius Randle F Alex Len C Tyson Chandler G Frank Mason III",NA,"DeAndre' Bembry","F","0.67%",19.75
100,955538487,"Glaze (5/6)",0,288.5,"UTIL LeBron James SF Otto Porter Jr. PF Zach Randolph G Spencer Dinwiddie SG Kent Bazemore C Mason Plumlee PG Tyler Ulis F Tyler Cavanaugh",NA,"Davis Bertans","F","0.67%",0
101,955065354,"amyzz_janoris (2/3)",0,288,"PF LeBron James C Karl-Anthony Towns SG Jimmy Butler G J.J. Barea SF Wesley Matthews PG Patty Mills UTIL Tomas Satoransky F Gorgui Dieng",NA,"Jarrett Allen","C","0.67%",17.5
101,955254536,"Lynx1231 (3/12)",0,288,"F LeBron James C Karl-Anthony Towns G Jimmy Butler PF Andrew Wiggins SF Wilson Chandler SG J.R. Smith UTIL Bogdan Bogdanovic PG Malcolm Delaney",NA,"Channing Frye","UTIL","0.67%",12.75
101,955445800,"jdehaven10",0,288,"PF Kristaps Porzingis SG Jimmy Butler PG Jeff Teague C Enes Kanter SF Andrew Wiggins F Rondae Hollis-Jefferson UTIL Julius Randle G Frank Mason III",NA,"Reggie Bullock","F","0.67%",11.5
101,955743688,"rbcues (13/20)",0,288,"F LeBron James UTIL Kristaps Porzingis PF T.J. Warren SF Rondae Hollis-Jefferson C Tyson Chandler SG Allen Crabbe PG Frank Mason III G Tomas Satoransky",NA,"José Calderón","G","0.67%",25.25
