"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14"
"Brandon Knight_PHO",NA,0,0,NA,NA,0,0,0,NA,0,0,NA
"Anthony Brown_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA,0
"Justin Patton_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA,0
"Alan Williams_PHO",NA,0,0,NA,NA,0,0,0,NA,0,0,NA
"Nerlens Noel_DAL",NA,NA,0,NA,NA,0,0,NA,0,0,NA,0
"Joffrey Lauvergne_SA",NA,NA,0,NA,4.75,NA,0,NA,0,5.25,NA,NA
"Antonius Cleveland_DAL",NA,NA,0,NA,NA,6.25,0,NA,0,3.5,NA,3.25
"Jeff Withey_DAL",NA,NA,0,NA,NA,6,0,NA,0,0,NA,3.25
"Dorian Finney-Smith_DAL",NA,NA,0,NA,NA,0,0,NA,0,0,NA,0
"Derrick White_SA",NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA
"Matt Costello_SA",NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA
"Darrun Hilliard_SA",NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA
"Johnathan Motley_DAL",NA,NA,0,NA,NA,0,0,NA,0,0,NA,7.25
"Josh McRoberts_DAL",NA,NA,0,NA,NA,0,0,NA,0,0,NA,0
"Salah Mejri_DAL",NA,NA,2.5,NA,NA,8,11.75,NA,2.75,5.75,NA,0
